Access time (ns),Add ECC -,Array Power Gating -,Bitline floating -,CL Power Gating -,Cache area (mm^2),Cache height (mm),Cache level (L2/L3) -,"Cache model (NUCA, UCA)  -",Cache width (mm),Core count,DIMM model,Data array cell type -,Data array peripheral type -,Force cache config -,Interconnect Power Gating -,Interconnect projection -,NUCA bank count,"NUCAdesign objective (weight delay, dynamic power, leakage power, cycle time, area)","NUCAdeviate (delay, dynamic power, leakage power, cycle time, area)",Ndbl,Ndcm,Ndsam1,Ndsam2,Ndwl,Nspd,"Optimize ED or ED^2 (ED, ED^2, NONE):",Power Gating Performance Loss,Print input parameters -,"Print level (DETAILED, CONCISE) -",Tag array cell type -,Tag array peripheral type -,Total dynamic read energy per access (nJ),Total dynamic write energy per access (nJ),Total gate leakage power of a bank (mW),Total leakage power of a bank (mW),UCA bank count,WL Power Gating -,Wire inside mat -,Wire outside mat -,"Wire signaling (fullswing, lowswing, default) -","access mode (normal, sequential, fast) -",access_time_ns,activity_ca 0.5,activity_dq 1.0,addr_timing 1.0,area_mm^2,associativity,block size (bytes),burst length,bus_freq 800 MHz,cache type,capacity,"design objective (weight delay, dynamic power, leakage power, cycle time, area)","deviate (delay, dynamic power, leakage power, cycle time, area)",dram_type,duty_cycle 1.0,exclusive read port,exclusive write port,first metric,gate_leak_power_mW,height_mm,internal prefetch width,io state,leak_power_mW,mem_data_width 8,mem_density 4 Gb,mirror_in_bob,num_bobs,num_ca 25,num_channels_per_bob,num_clk  2,num_dq 72,num_dqs 18,num_mem_dq 2,operating temperature (K),output/input bus width,page size (bits),read-write port,read_energy_nJ,ron_value,rtt_value,second metric,single ended read ports,size (bytes),tag size (b),technology (u),tflight_value,third metric,width_mm,write_energy_nJ
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.109439,,,,,1,1.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0163076,,8,"""WRITE""",0.199522,,,"""F""",1,,1,,,,,360,8.0,8192,0,0.000205099,34,10000,"""Bandwidth""",0,256.0,"""default""",0.028,,"""Energy""",,0.000217566
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.329679,,,,,1,1.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.51775,,8,"""WRITE""",11.6246,,,"""F""",1,,1,,,,,360,8.0,8192,0,0.00308352,34,10000,"""Bandwidth""",0,16384.0,"""default""",0.028,,"""Energy""",,0.00165658
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.220315,,,,,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.152624,,8,"""WRITE""",3.45055,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.00176851,34,10000,"""Bandwidth""",0,4096.0,"""default""",0.028,,"""Energy""",,0.00209016
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.261634,,,,,1,1.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.285425,,8,"""WRITE""",5.99909,,,"""F""",1,,1,,,,,360,8.0,8192,0,0.00198708,34,10000,"""Bandwidth""",0,8192.0,"""default""",0.028,,"""Energy""",,0.00125772
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.249372,,,,,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.261776,,8,"""WRITE""",6.40672,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.00335755,34,10000,"""Bandwidth""",0,8192.0,"""default""",0.028,,"""Energy""",,0.00265612
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",,,,,,1,0.5,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",,,8,"""WRITE""",,,,"""F""",1,,1,,,,,360,4.0,8192,0,,34,10000,"""Bandwidth""",0,8192.0,"""default""",0.028,,"""Energy""",,
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",,,,,,1,0.5,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",,,8,"""WRITE""",,,,"""F""",1,,1,,,,,360,4.0,8192,0,,34,10000,"""Bandwidth""",0,65536.0,"""default""",0.028,,"""Energy""",,
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.446142,,,,,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.861976,,8,"""WRITE""",22.8552,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.00902282,34,10000,"""Bandwidth""",0,32768.0,"""default""",0.028,,"""Energy""",,0.00627527
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.109439,,,,,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0147332,,8,"""WRITE""",0.200021,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.000287548,34,10000,"""Bandwidth""",0,256.0,"""default""",0.028,,"""Energy""",,0.00050316
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.329346,,,,,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.503783,,8,"""WRITE""",11.4002,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.00382776,34,10000,"""Bandwidth""",0,16384.0,"""default""",0.028,,"""Energy""",,0.00323768
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.129873,,,,,1,1.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0299722,,8,"""WRITE""",0.377804,,,"""F""",1,,1,,,,,360,8.0,8192,0,0.000295504,34,10000,"""Bandwidth""",0,512.0,"""default""",0.028,,"""Energy""",,0.000325983
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.10278,,,,,1,1.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0102558,,8,"""WRITE""",0.115208,,,"""F""",1,,1,,,,,360,8.0,8192,0,0.000121861,34,10000,"""Bandwidth""",0,128.0,"""default""",0.028,,"""Energy""",,0.000162403
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.620589,,,,,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",1.71843,,8,"""WRITE""",45.5861,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.0139292,34,10000,"""Bandwidth""",0,65536.0,"""default""",0.028,,"""Energy""",,0.0111516
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.140383,,,,,1,1.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0403122,,8,"""WRITE""",0.68705,,,"""F""",1,,1,,,,,360,8.0,8192,0,0.000493097,34,10000,"""Bandwidth""",0,1024.0,"""default""",0.028,,"""Energy""",,0.000415027
