Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 16, 0.174496, 0.123989, N/A, 0.000384459, 0.000646234, 0.29941, 0.00132481, 2, 2, 1, 2, 1, 1, 51.7692, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 8, 0.174496, 0.123989, N/A, 0.000325, 0.000427454, 0.292241, 0.00127677, 2, 2, 2, 4, 1, 1, 53.7171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 8, 0.174496, 0.123989, N/A, 0.000325, 0.000427454, 0.292241, 0.00127677, 2, 2, 2, 4, 1, 1, 53.7171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 8, 0.174496, 0.123989, N/A, 0.000325, 0.000427454, 0.292241, 0.00127677, 2, 2, 2, 4, 1, 1, 53.7171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 8, 0.174496, 0.123989, N/A, 0.000325, 0.000427454, 0.292241, 0.00127677, 2, 2, 2, 4, 1, 1, 53.7171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 8, 0.174496, 0.123989, N/A, 0.000325, 0.000427454, 0.292241, 0.00127677, 2, 2, 2, 4, 1, 1, 53.7171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 1, 8, 0.294885, 0.229512, N/A, 0.00161578, 0.00141042, 3.35435, 0.0147003, 2, 2, 8, 16, 1, 1, 74.648, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 256, 1, 1, 8, 0.257334, 0.167796, N/A, 0.000359661, 0.000964162, 0.730268, 0.00410357, 2, 2, 1, 2, 1, 1, 37.1408, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 1, 8, 0.543354, 0.305266, N/A, 0.00692165, 0.004152, 28.8096, 0.120428, 2, 4, 32, 64, 1, 1, 72.8966, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 256, 1, 1, 8, 0.257334, 0.167796, N/A, 0.000359661, 0.000964162, 0.730268, 0.00410357, 2, 2, 1, 2, 1, 1, 37.1408, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 1, 8, 0.543354, 0.305266, N/A, 0.00692165, 0.004152, 28.8096, 0.120428, 2, 4, 32, 64, 1, 1, 72.8966, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 256, 1, 1, 8, 0.257334, 0.167796, N/A, 0.000359661, 0.000964162, 0.730268, 0.00410357, 2, 2, 1, 2, 1, 1, 37.1408, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 1, 8, 0.543354, 0.305266, N/A, 0.00692165, 0.004152, 28.8096, 0.120428, 2, 4, 32, 64, 1, 1, 72.8966, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 32, 0.331441, 0.266121, N/A, 0.00398324, 0.00505131, 8.48482, 0.0485739, 2, 2, 4, 8, 1, 1, 75.6119, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 1, 32, 0.168603, 0.135044, N/A, 0.00117522, 0.00133964, 2.22638, 0.0121764, 2, 2, 4, 8, 1, 1, 72.0931, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 8, 0.109439, 0.083764, N/A, 0.000205099, 0.000217566, 0.21583, 0.000879309, 2, 2, 4, 8, 1, 1, 60.3955, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 16384, 1, 1, 8, 0.329679, 0.199834, N/A, 0.00308352, 0.00165658, 12.1424, 0.0475667, 2, 4, 32, 64, 1, 1, 71.4533, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 4096, 1, 1, 32, 0.220315, 0.178571, N/A, 0.00176851, 0.00209016, 3.60318, 0.0197319, 2, 2, 4, 8, 1, 1, 72.0633, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 128, 1, 1, 8, 0.10278, 0.0740256, N/A, 0.000121861, 0.000162403, 0.125463, 0.000498694, 2, 2, 2, 4, 1, 1, 53.2454, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 2048, 1, 1, 8, 0.145409, 0.122482, N/A, 0.000883704, 0.000588538, 1.66909, 0.00618474, 2, 2, 16, 32, 1, 1, 68.6933, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 512, 1, 1, 32, 0.142069, 0.110667, N/A, 0.000432005, 0.000967824, 0.459463, 0.00295968, 2, 2, 1, 2, 1, 1, 60.055, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 8, 0.109439, 0.083764, N/A, 0.000205099, 0.000217566, 0.21583, 0.000879309, 2, 2, 4, 8, 1, 1, 60.3955, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
